,school_name,type,math_score,reading_score
7305,Shelton High School,Charter,68,98
7306,Shelton High School,Charter,96,92
7307,Shelton High School,Charter,98,81
7308,Shelton High School,Charter,83,97
7309,Shelton High School,Charter,85,80
7310,Shelton High School,Charter,70,72
7311,Shelton High School,Charter,70,88
7312,Shelton High School,Charter,95,75
7313,Shelton High School,Charter,97,79
7314,Shelton High School,Charter,85,77
7315,Shelton High School,Charter,80,86
7316,Shelton High School,Charter,90,83
7317,Shelton High School,Charter,78,76
7318,Shelton High School,Charter,93,70
7319,Shelton High School,Charter,77,84
7320,Shelton High School,Charter,88,97
7321,Shelton High School,Charter,85,95
7322,Shelton High School,Charter,69,69
7323,Shelton High School,Charter,88,74
7324,Shelton High School,Charter,80,70
7325,Shelton High School,Charter,70,91
7326,Shelton High School,Charter,74,77
7327,Shelton High School,Charter,71,90
7328,Shelton High School,Charter,89,97
7329,Shelton High School,Charter,87,76
7330,Shelton High School,Charter,88,99
7331,Shelton High School,Charter,78,72
7332,Shelton High School,Charter,93,89
7333,Shelton High School,Charter,81,85
7334,Shelton High School,Charter,85,71
7335,Shelton High School,Charter,69,92
7336,Shelton High School,Charter,93,88
7337,Shelton High School,Charter,75,91
7338,Shelton High School,Charter,96,98
7339,Shelton High School,Charter,97,94
7340,Shelton High School,Charter,78,80
7341,Shelton High School,Charter,91,93
7342,Shelton High School,Charter,95,83
7343,Shelton High School,Charter,71,97
7344,Shelton High School,Charter,87,73
7345,Shelton High School,Charter,75,70
7346,Shelton High School,Charter,78,76
7347,Shelton High School,Charter,83,98
7348,Shelton High School,Charter,79,97
7349,Shelton High School,Charter,75,72
7350,Shelton High School,Charter,68,92
7351,Shelton High School,Charter,84,77
7352,Shelton High School,Charter,72,78
7353,Shelton High School,Charter,83,83
7354,Shelton High School,Charter,94,91
7355,Shelton High School,Charter,89,79
7356,Shelton High School,Charter,84,83
7357,Shelton High School,Charter,88,85
7358,Shelton High School,Charter,68,96
7359,Shelton High School,Charter,80,78
7360,Shelton High School,Charter,71,97
7361,Shelton High School,Charter,78,89
7362,Shelton High School,Charter,91,94
7363,Shelton High School,Charter,98,78
7364,Shelton High School,Charter,92,73
7365,Shelton High School,Charter,90,72
7366,Shelton High School,Charter,97,96
7367,Shelton High School,Charter,71,89
7368,Shelton High School,Charter,72,74
7369,Shelton High School,Charter,70,73
7370,Shelton High School,Charter,82,70
7371,Shelton High School,Charter,83,73
7372,Shelton High School,Charter,74,79
7373,Shelton High School,Charter,95,85
7374,Shelton High School,Charter,88,90
7375,Shelton High School,Charter,94,72
7376,Shelton High School,Charter,85,96
7377,Shelton High School,Charter,99,69
7378,Shelton High School,Charter,91,95
7379,Shelton High School,Charter,70,74
7380,Shelton High School,Charter,70,82
7381,Shelton High School,Charter,99,88
7382,Shelton High School,Charter,89,69
7383,Shelton High School,Charter,94,83
7384,Shelton High School,Charter,73,85
7385,Shelton High School,Charter,84,83
7386,Shelton High School,Charter,84,86
7387,Shelton High School,Charter,96,87
7388,Shelton High School,Charter,79,80
7389,Shelton High School,Charter,71,86
7390,Shelton High School,Charter,79,77
7391,Shelton High School,Charter,87,95
7392,Shelton High School,Charter,88,80
7393,Shelton High School,Charter,83,93
7394,Shelton High School,Charter,74,83
7395,Shelton High School,Charter,82,78
7396,Shelton High School,Charter,83,87
7397,Shelton High School,Charter,84,74
7398,Shelton High School,Charter,83,90
7399,Shelton High School,Charter,80,69
7400,Shelton High School,Charter,82,91
7401,Shelton High School,Charter,80,78
7402,Shelton High School,Charter,83,71
7403,Shelton High School,Charter,70,96
7404,Shelton High School,Charter,98,71
7405,Shelton High School,Charter,77,99
7406,Shelton High School,Charter,72,87
7407,Shelton High School,Charter,79,73
7408,Shelton High School,Charter,99,94
7409,Shelton High School,Charter,80,90
7410,Shelton High School,Charter,74,80
7411,Shelton High School,Charter,89,84
7412,Shelton High School,Charter,76,89
7413,Shelton High School,Charter,68,69
7414,Shelton High School,Charter,95,84
7415,Shelton High School,Charter,72,73
7416,Shelton High School,Charter,79,94
7417,Shelton High School,Charter,79,95
7418,Shelton High School,Charter,86,72
7419,Shelton High School,Charter,89,86
7420,Shelton High School,Charter,72,69
7421,Shelton High School,Charter,81,87
7422,Shelton High School,Charter,96,83
7423,Shelton High School,Charter,82,92
7424,Shelton High School,Charter,80,97
7425,Shelton High School,Charter,74,69
7426,Shelton High School,Charter,70,75
7427,Shelton High School,Charter,83,96
7428,Shelton High School,Charter,92,83
7429,Shelton High School,Charter,74,77
7430,Shelton High School,Charter,88,92
7431,Shelton High School,Charter,69,77
7432,Shelton High School,Charter,99,92
7433,Shelton High School,Charter,81,95
7434,Shelton High School,Charter,78,82
7435,Shelton High School,Charter,84,69
7436,Shelton High School,Charter,80,78
7437,Shelton High School,Charter,80,88
7438,Shelton High School,Charter,69,83
7439,Shelton High School,Charter,71,69
7440,Shelton High School,Charter,96,86
7441,Shelton High School,Charter,84,71
7442,Shelton High School,Charter,69,91
7443,Shelton High School,Charter,97,79
7444,Shelton High School,Charter,98,70
7445,Shelton High School,Charter,85,94
7446,Shelton High School,Charter,72,83
7447,Shelton High School,Charter,70,87
7448,Shelton High School,Charter,81,86
7449,Shelton High School,Charter,99,91
7450,Shelton High School,Charter,78,76
7451,Shelton High School,Charter,78,82
7452,Shelton High School,Charter,94,83
7453,Shelton High School,Charter,92,82
7454,Shelton High School,Charter,72,92
7455,Shelton High School,Charter,90,85
7456,Shelton High School,Charter,89,90
7457,Shelton High School,Charter,87,96
7458,Shelton High School,Charter,96,98
7459,Shelton High School,Charter,80,87
7460,Shelton High School,Charter,69,81
7461,Shelton High School,Charter,85,94
7462,Shelton High School,Charter,90,87
7463,Shelton High School,Charter,94,86
7464,Shelton High School,Charter,87,93
7465,Shelton High School,Charter,89,94
7466,Shelton High School,Charter,76,77
7467,Shelton High School,Charter,72,80
7468,Shelton High School,Charter,85,88
7469,Shelton High School,Charter,87,69
7470,Shelton High School,Charter,81,86
7471,Shelton High School,Charter,97,81
7472,Shelton High School,Charter,79,92
7473,Shelton High School,Charter,87,89
7474,Shelton High School,Charter,75,76
7475,Shelton High School,Charter,99,89
7476,Shelton High School,Charter,94,71
7477,Shelton High School,Charter,97,86
7478,Shelton High School,Charter,72,89
7479,Shelton High School,Charter,75,97
7480,Shelton High School,Charter,82,88
7481,Shelton High School,Charter,84,91
7482,Shelton High School,Charter,88,98
7483,Shelton High School,Charter,95,76
7484,Shelton High School,Charter,91,90
7485,Shelton High School,Charter,69,91
7486,Shelton High School,Charter,77,81
7487,Shelton High School,Charter,92,69
7488,Shelton High School,Charter,68,87
7489,Shelton High School,Charter,98,75
7490,Shelton High School,Charter,70,73
7491,Shelton High School,Charter,97,74
7492,Shelton High School,Charter,72,70
7493,Shelton High School,Charter,72,79
7494,Shelton High School,Charter,79,96
7495,Shelton High School,Charter,98,78
7496,Shelton High School,Charter,83,78
7497,Shelton High School,Charter,82,81
7498,Shelton High School,Charter,96,85
7499,Shelton High School,Charter,82,77
7500,Shelton High School,Charter,77,90
7501,Shelton High School,Charter,85,76
7502,Shelton High School,Charter,92,71
7503,Shelton High School,Charter,83,72
7504,Shelton High School,Charter,90,74
7505,Shelton High School,Charter,87,79
7506,Shelton High School,Charter,73,94
7507,Shelton High School,Charter,70,74
7508,Shelton High School,Charter,93,98
7509,Shelton High School,Charter,73,96
7510,Shelton High School,Charter,83,89
7511,Shelton High School,Charter,89,74
7512,Shelton High School,Charter,83,81
7513,Shelton High School,Charter,88,96
7514,Shelton High School,Charter,88,71
7515,Shelton High School,Charter,78,69
7516,Shelton High School,Charter,79,77
7517,Shelton High School,Charter,79,87
7518,Shelton High School,Charter,82,88
7519,Shelton High School,Charter,79,91
7520,Shelton High School,Charter,78,82
7521,Shelton High School,Charter,99,84
7522,Shelton High School,Charter,80,75
7523,Shelton High School,Charter,68,97
7524,Shelton High School,Charter,84,82
7525,Shelton High School,Charter,85,92
7526,Shelton High School,Charter,83,87
7527,Shelton High School,Charter,74,86
7528,Shelton High School,Charter,90,74
7529,Shelton High School,Charter,98,89
7530,Shelton High School,Charter,89,89
7531,Shelton High School,Charter,87,88
7532,Shelton High School,Charter,88,99
7533,Shelton High School,Charter,84,84
7534,Shelton High School,Charter,72,82
7535,Shelton High School,Charter,87,72
7536,Shelton High School,Charter,79,72
7537,Shelton High School,Charter,82,97
7538,Shelton High School,Charter,93,79
7539,Shelton High School,Charter,95,73
7540,Shelton High School,Charter,80,99
7541,Shelton High School,Charter,97,92
7542,Shelton High School,Charter,91,96
7543,Shelton High School,Charter,99,72
7544,Shelton High School,Charter,95,96
7545,Shelton High School,Charter,81,69
7546,Shelton High School,Charter,68,80
7547,Shelton High School,Charter,92,90
7548,Shelton High School,Charter,76,75
7549,Shelton High School,Charter,95,84
7550,Shelton High School,Charter,98,77
7551,Shelton High School,Charter,83,85
7552,Shelton High School,Charter,76,94
7553,Shelton High School,Charter,84,81
7554,Shelton High School,Charter,94,84
7555,Shelton High School,Charter,73,98
7556,Shelton High School,Charter,74,75
7557,Shelton High School,Charter,69,92
7558,Shelton High School,Charter,99,78
7559,Shelton High School,Charter,95,70
7560,Shelton High School,Charter,86,98
7561,Shelton High School,Charter,71,87
7562,Shelton High School,Charter,93,83
7563,Shelton High School,Charter,98,72
7564,Shelton High School,Charter,98,73
7565,Shelton High School,Charter,87,80
7566,Shelton High School,Charter,93,90
7567,Shelton High School,Charter,99,96
7568,Shelton High School,Charter,82,79
7569,Shelton High School,Charter,70,88
7570,Shelton High School,Charter,92,74
7571,Shelton High School,Charter,78,82
7572,Shelton High School,Charter,99,93
7573,Shelton High School,Charter,80,92
7574,Shelton High School,Charter,81,73
7575,Shelton High School,Charter,76,86
7576,Shelton High School,Charter,89,72
7577,Shelton High School,Charter,75,71
7578,Shelton High School,Charter,96,93
7579,Shelton High School,Charter,68,98
7580,Shelton High School,Charter,92,79
7581,Shelton High School,Charter,86,87
7582,Shelton High School,Charter,69,92
7583,Shelton High School,Charter,93,69
7584,Shelton High School,Charter,94,98
7585,Shelton High School,Charter,72,99
7586,Shelton High School,Charter,88,91
7587,Shelton High School,Charter,81,91
7588,Shelton High School,Charter,68,83
7589,Shelton High School,Charter,71,98
7590,Shelton High School,Charter,88,92
7591,Shelton High School,Charter,79,80
7592,Shelton High School,Charter,87,72
7593,Shelton High School,Charter,72,78
7594,Shelton High School,Charter,99,91
7595,Shelton High School,Charter,89,91
7596,Shelton High School,Charter,79,76
7597,Shelton High School,Charter,70,75
7598,Shelton High School,Charter,91,84
7599,Shelton High School,Charter,76,84
7600,Shelton High School,Charter,73,79
7601,Shelton High School,Charter,85,73
7602,Shelton High School,Charter,98,73
7603,Shelton High School,Charter,68,72
7604,Shelton High School,Charter,76,83
7605,Shelton High School,Charter,83,81
7606,Shelton High School,Charter,91,74
7607,Shelton High School,Charter,95,71
7608,Shelton High School,Charter,79,97
7609,Shelton High School,Charter,99,89
7610,Shelton High School,Charter,82,98
7611,Shelton High School,Charter,69,96
7612,Shelton High School,Charter,73,89
7613,Shelton High School,Charter,70,69
7614,Shelton High School,Charter,98,85
7615,Shelton High School,Charter,81,85
7616,Shelton High School,Charter,74,77
7617,Shelton High School,Charter,82,85
7618,Shelton High School,Charter,93,69
7619,Shelton High School,Charter,81,78
7620,Shelton High School,Charter,91,72
7621,Shelton High School,Charter,69,90
7622,Shelton High School,Charter,73,94
7623,Shelton High School,Charter,80,69
7624,Shelton High School,Charter,86,79
7625,Shelton High School,Charter,70,84
7626,Shelton High School,Charter,79,96
7627,Hernandez High School,District,88,70
7628,Hernandez High School,District,93,97
7629,Hernandez High School,District,81,83
7630,Hernandez High School,District,91,77
7631,Hernandez High School,District,93,84
7632,Hernandez High School,District,81,88
7633,Hernandez High School,District,71,66
7634,Hernandez High School,District,93,79
7635,Hernandez High School,District,97,99
7636,Hernandez High School,District,60,97
7637,Hernandez High School,District,99,66
7638,Hernandez High School,District,81,92
7639,Hernandez High School,District,65,72
7640,Hernandez High School,District,57,72
7641,Hernandez High School,District,95,70
7642,Hernandez High School,District,57,63
7643,Hernandez High School,District,55,67
7644,Hernandez High School,District,66,98
7645,Hernandez High School,District,87,75
7646,Hernandez High School,District,96,63
7647,Hernandez High School,District,84,97
7648,Hernandez High School,District,77,95
7649,Hernandez High School,District,63,64
7650,Hernandez High School,District,93,73
7651,Hernandez High School,District,55,80
7652,Hernandez High School,District,74,81
7653,Hernandez High School,District,56,63
7654,Hernandez High School,District,97,98
7655,Hernandez High School,District,94,70
7656,Hernandez High School,District,88,93
7657,Hernandez High School,District,85,91
7658,Hernandez High School,District,76,74
7659,Hernandez High School,District,94,73
7660,Hernandez High School,District,92,70
7661,Hernandez High School,District,61,95
7662,Hernandez High School,District,83,71
7663,Hernandez High School,District,80,96
7664,Hernandez High School,District,74,75
7665,Hernandez High School,District,61,63
7666,Hernandez High School,District,96,80
7667,Hernandez High School,District,99,63
7668,Hernandez High School,District,87,93
7669,Hernandez High School,District,74,94
7670,Hernandez High School,District,97,84
7671,Hernandez High School,District,96,72
7672,Hernandez High School,District,60,68
7673,Hernandez High School,District,78,90
7674,Hernandez High School,District,58,72
7675,Hernandez High School,District,74,89
7676,Hernandez High School,District,66,99
7677,Hernandez High School,District,59,97
7678,Hernandez High School,District,83,85
7679,Hernandez High School,District,76,99
7680,Hernandez High School,District,72,70
7681,Hernandez High School,District,69,68
7682,Hernandez High School,District,85,83
7683,Hernandez High School,District,93,63
7684,Hernandez High School,District,70,83
7685,Hernandez High School,District,71,88
7686,Hernandez High School,District,88,87
7687,Hernandez High School,District,67,68
7688,Hernandez High School,District,61,76
7689,Hernandez High School,District,65,74
7690,Hernandez High School,District,63,84
7691,Hernandez High School,District,98,73
7692,Hernandez High School,District,75,78
7693,Hernandez High School,District,66,69
7694,Hernandez High School,District,66,87
7695,Hernandez High School,District,62,69
7696,Hernandez High School,District,55,73
7697,Hernandez High School,District,67,63
7698,Hernandez High School,District,89,88
7699,Hernandez High School,District,97,84
7700,Hernandez High School,District,96,68
7701,Hernandez High School,District,89,90
7702,Hernandez High School,District,83,76
7703,Hernandez High School,District,78,63
7704,Hernandez High School,District,84,69
7705,Hernandez High School,District,73,82
7706,Hernandez High School,District,73,92
7707,Hernandez High School,District,82,68
7708,Hernandez High School,District,88,99
7709,Hernandez High School,District,63,64
7710,Hernandez High School,District,55,65
7711,Hernandez High School,District,80,74
7712,Hernandez High School,District,89,91
7713,Hernandez High School,District,98,68
7714,Hernandez High School,District,85,91
7715,Hernandez High School,District,95,77
7716,Hernandez High School,District,69,68
7717,Hernandez High School,District,79,68
7718,Hernandez High School,District,66,89
7719,Hernandez High School,District,96,73
7720,Hernandez High School,District,59,66
7721,Hernandez High School,District,74,88
7722,Hernandez High School,District,70,93
7723,Hernandez High School,District,73,79
7724,Hernandez High School,District,83,79
7725,Hernandez High School,District,69,95
7726,Hernandez High School,District,68,71
7727,Hernandez High School,District,98,80
7728,Hernandez High School,District,70,66
7729,Hernandez High School,District,75,99
7730,Hernandez High School,District,83,70
7731,Hernandez High School,District,87,72
7732,Hernandez High School,District,67,92
7733,Hernandez High School,District,73,87
7734,Hernandez High School,District,60,97
7735,Hernandez High School,District,66,94
7736,Hernandez High School,District,68,68
7737,Hernandez High School,District,79,80
7738,Hernandez High School,District,64,85
7739,Hernandez High School,District,84,65
7740,Hernandez High School,District,68,72
7741,Hernandez High School,District,97,79
7742,Hernandez High School,District,86,63
7743,Hernandez High School,District,69,63
7744,Hernandez High School,District,78,64
7745,Hernandez High School,District,93,80
7746,Hernandez High School,District,90,66
7747,Hernandez High School,District,89,86
7748,Hernandez High School,District,60,77
7749,Hernandez High School,District,60,64
7750,Hernandez High School,District,77,81
7751,Hernandez High School,District,60,90
7752,Hernandez High School,District,61,93
7753,Hernandez High School,District,79,83
7754,Hernandez High School,District,66,86
7755,Hernandez High School,District,83,92
7756,Hernandez High School,District,90,68
7757,Hernandez High School,District,99,96
7758,Hernandez High School,District,72,84
7759,Hernandez High School,District,80,92
7760,Hernandez High School,District,86,91
7761,Hernandez High School,District,99,67
7762,Hernandez High School,District,94,90
7763,Hernandez High School,District,59,67
7764,Hernandez High School,District,75,68
7765,Hernandez High School,District,97,93
7766,Hernandez High School,District,92,70
7767,Hernandez High School,District,67,69
7768,Hernandez High School,District,77,68
7769,Hernandez High School,District,79,67
7770,Hernandez High School,District,64,63
7771,Hernandez High School,District,99,96
7772,Hernandez High School,District,61,84
7773,Hernandez High School,District,69,80
7774,Hernandez High School,District,87,86
7775,Hernandez High School,District,86,71
7776,Hernandez High School,District,69,81
7777,Hernandez High School,District,57,86
7778,Hernandez High School,District,94,73
7779,Hernandez High School,District,62,75
7780,Hernandez High School,District,82,81
7781,Hernandez High School,District,72,82
7782,Hernandez High School,District,77,80
7783,Hernandez High School,District,62,69
7784,Hernandez High School,District,99,74
7785,Hernandez High School,District,59,66
7786,Hernandez High School,District,64,75
7787,Hernandez High School,District,62,83
7788,Hernandez High School,District,61,77
7789,Hernandez High School,District,62,82
7790,Hernandez High School,District,82,70
7791,Hernandez High School,District,56,87
7792,Hernandez High School,District,64,99
7793,Hernandez High School,District,74,63
7794,Hernandez High School,District,90,70
7795,Hernandez High School,District,98,95
7796,Hernandez High School,District,82,96
7797,Hernandez High School,District,55,92
7798,Hernandez High School,District,80,83
7799,Hernandez High School,District,96,92
7800,Hernandez High School,District,79,84
7801,Hernandez High School,District,76,85
7802,Hernandez High School,District,95,71
7803,Hernandez High School,District,98,95
7804,Hernandez High School,District,63,68
7805,Hernandez High School,District,72,69
7806,Hernandez High School,District,58,89
7807,Hernandez High School,District,85,64
7808,Hernandez High School,District,80,99
7809,Hernandez High School,District,77,68
7810,Hernandez High School,District,57,69
7811,Hernandez High School,District,90,86
7812,Hernandez High School,District,91,89
7813,Hernandez High School,District,96,69
7814,Hernandez High School,District,77,93
7815,Hernandez High School,District,55,64
7816,Hernandez High School,District,99,84
7817,Hernandez High School,District,68,96
7818,Hernandez High School,District,67,92
7819,Hernandez High School,District,97,84
7820,Hernandez High School,District,99,86
7821,Hernandez High School,District,78,84
7822,Hernandez High School,District,56,81
7823,Hernandez High School,District,95,97
7824,Hernandez High School,District,82,88
7825,Hernandez High School,District,85,90
7826,Hernandez High School,District,72,82
7827,Hernandez High School,District,62,88
7828,Hernandez High School,District,95,64
7829,Hernandez High School,District,66,87
7830,Hernandez High School,District,91,70
7831,Hernandez High School,District,90,76
7832,Hernandez High School,District,57,84
7833,Hernandez High School,District,82,73
7834,Hernandez High School,District,78,69
7835,Hernandez High School,District,82,89
7836,Hernandez High School,District,73,91
7837,Hernandez High School,District,97,65
7838,Hernandez High School,District,59,99
7839,Hernandez High School,District,75,76
7840,Hernandez High School,District,79,69
7841,Hernandez High School,District,96,90
7842,Hernandez High School,District,81,71
7843,Hernandez High School,District,73,79
7844,Hernandez High School,District,58,65
7845,Hernandez High School,District,87,87
7846,Hernandez High School,District,92,76
7847,Hernandez High School,District,84,82
7848,Hernandez High School,District,65,88
7849,Hernandez High School,District,74,99
7850,Hernandez High School,District,87,92
7851,Hernandez High School,District,85,89
7852,Hernandez High School,District,99,82
7853,Hernandez High School,District,57,71
7854,Hernandez High School,District,73,85
7855,Hernandez High School,District,87,98
7856,Hernandez High School,District,74,87
7857,Hernandez High School,District,89,87
7858,Hernandez High School,District,92,98
7859,Hernandez High School,District,76,73
7860,Hernandez High School,District,90,91
7861,Hernandez High School,District,87,90
7862,Hernandez High School,District,70,95
7863,Hernandez High School,District,68,63
7864,Hernandez High School,District,89,90
7865,Hernandez High School,District,72,86
7866,Hernandez High School,District,77,87
7867,Hernandez High School,District,63,93
7868,Hernandez High School,District,78,77
7869,Hernandez High School,District,95,70
7870,Hernandez High School,District,56,86
7871,Hernandez High School,District,69,79
7872,Hernandez High School,District,66,63
7873,Hernandez High School,District,67,72
7874,Hernandez High School,District,67,96
7875,Hernandez High School,District,60,97
7876,Hernandez High School,District,96,63
7877,Hernandez High School,District,91,88
7878,Hernandez High School,District,84,65
7879,Hernandez High School,District,67,82
7880,Hernandez High School,District,58,70
7881,Hernandez High School,District,87,86
7882,Hernandez High School,District,65,71
7883,Hernandez High School,District,71,64
7884,Hernandez High School,District,62,99
7885,Hernandez High School,District,57,63
7886,Hernandez High School,District,66,70
7887,Hernandez High School,District,62,81
7888,Hernandez High School,District,95,96
7889,Hernandez High School,District,94,91
7890,Hernandez High School,District,99,88
7891,Hernandez High School,District,60,76
7892,Hernandez High School,District,81,82
7893,Hernandez High School,District,59,96
7894,Hernandez High School,District,68,86
7895,Hernandez High School,District,87,97
7896,Hernandez High School,District,74,65
7897,Hernandez High School,District,76,64
7898,Hernandez High School,District,90,70
7899,Hernandez High School,District,57,82
7900,Hernandez High School,District,65,70
7901,Hernandez High School,District,96,65
7902,Hernandez High School,District,72,69
7903,Hernandez High School,District,68,81
7904,Hernandez High School,District,69,89
7905,Hernandez High School,District,60,82
7906,Hernandez High School,District,57,74
7907,Hernandez High School,District,92,71
7908,Hernandez High School,District,82,65
7909,Hernandez High School,District,98,88
7910,Hernandez High School,District,91,87
7911,Hernandez High School,District,73,89
7912,Hernandez High School,District,82,76
7913,Hernandez High School,District,56,91
7914,Hernandez High School,District,85,81
7915,Hernandez High School,District,59,95
7916,Hernandez High School,District,59,90
7917,Hernandez High School,District,67,76
7918,Hernandez High School,District,58,92
7919,Hernandez High School,District,56,77
7920,Hernandez High School,District,88,79
7921,Hernandez High School,District,92,67
7922,Hernandez High School,District,64,78
7923,Hernandez High School,District,76,77
7924,Hernandez High School,District,80,78
7925,Hernandez High School,District,74,71
7926,Hernandez High School,District,70,68
7927,Hernandez High School,District,72,67
7928,Hernandez High School,District,95,75
7929,Hernandez High School,District,96,68
7930,Hernandez High School,District,98,70
7931,Hernandez High School,District,71,66
7932,Hernandez High School,District,91,64
7933,Hernandez High School,District,94,88
7934,Hernandez High School,District,71,89
7935,Hernandez High School,District,68,63
7936,Hernandez High School,District,80,80
7937,Hernandez High School,District,56,83
7938,Hernandez High School,District,75,86
7939,Hernandez High School,District,60,83
7940,Hernandez High School,District,67,75
7941,Hernandez High School,District,91,90
7942,Hernandez High School,District,97,76
7943,Hernandez High School,District,78,93
7944,Hernandez High School,District,76,97
7945,Hernandez High School,District,97,85
7946,Hernandez High School,District,89,79
7947,Hernandez High School,District,62,95
7948,Hernandez High School,District,56,86
7949,Hernandez High School,District,68,85
7950,Hernandez High School,District,86,97
7951,Hernandez High School,District,71,93
7952,Hernandez High School,District,73,73
7953,Hernandez High School,District,60,70
7954,Hernandez High School,District,89,87
7955,Hernandez High School,District,99,99
7956,Hernandez High School,District,61,81
7957,Hernandez High School,District,71,91
7958,Hernandez High School,District,74,74
7959,Hernandez High School,District,82,81
7960,Hernandez High School,District,58,84
7961,Hernandez High School,District,82,88
7962,Hernandez High School,District,63,78
7963,Hernandez High School,District,97,98
7964,Hernandez High School,District,92,92
7965,Hernandez High School,District,84,71
7966,Hernandez High School,District,99,85
7967,Hernandez High School,District,79,88
7968,Hernandez High School,District,66,82
7969,Hernandez High School,District,77,90
7970,Hernandez High School,District,67,72
7971,Hernandez High School,District,69,64
7972,Hernandez High School,District,57,69
7973,Hernandez High School,District,73,82
7974,Hernandez High School,District,99,68
7975,Hernandez High School,District,70,77
7976,Hernandez High School,District,78,99
7977,Hernandez High School,District,69,78
7978,Hernandez High School,District,70,90
7979,Hernandez High School,District,84,75
7980,Hernandez High School,District,96,81
7981,Hernandez High School,District,95,67
7982,Hernandez High School,District,90,78
7983,Hernandez High School,District,78,81
7984,Hernandez High School,District,82,72
7985,Hernandez High School,District,59,99
7986,Hernandez High School,District,79,76
7987,Hernandez High School,District,73,99
7988,Hernandez High School,District,82,74
7989,Hernandez High School,District,72,77
7990,Hernandez High School,District,97,73
7991,Hernandez High School,District,67,91
7992,Hernandez High School,District,87,86
7993,Hernandez High School,District,96,91
7994,Hernandez High School,District,58,92
7995,Hernandez High School,District,74,92
7996,Hernandez High School,District,61,77
7997,Hernandez High School,District,94,75
7998,Hernandez High School,District,77,73
7999,Hernandez High School,District,73,88
8000,Hernandez High School,District,75,67
8001,Hernandez High School,District,55,72
8002,Hernandez High School,District,60,92
8003,Hernandez High School,District,61,98
8004,Hernandez High School,District,73,84
8005,Hernandez High School,District,98,64
8006,Hernandez High School,District,76,67
8007,Hernandez High School,District,60,82
8008,Hernandez High School,District,97,71
8009,Hernandez High School,District,73,91
8010,Hernandez High School,District,70,94
8011,Hernandez High School,District,98,82
8012,Hernandez High School,District,93,78
8013,Hernandez High School,District,87,90
8014,Hernandez High School,District,60,83
8015,Hernandez High School,District,59,93
8016,Hernandez High School,District,66,80
8017,Hernandez High School,District,76,77
8018,Hernandez High School,District,72,65
8019,Hernandez High School,District,89,91
8020,Hernandez High School,District,64,75
8021,Hernandez High School,District,71,63
8022,Hernandez High School,District,62,79
8023,Hernandez High School,District,75,96
8024,Hernandez High School,District,90,93
8025,Hernandez High School,District,82,90
8026,Hernandez High School,District,98,86
8027,Hernandez High School,District,72,78
8028,Hernandez High School,District,98,93
8029,Hernandez High School,District,80,82
8030,Hernandez High School,District,75,91
8031,Hernandez High School,District,80,82
8032,Hernandez High School,District,58,93
8033,Hernandez High School,District,58,76
8034,Hernandez High School,District,68,63
8035,Hernandez High School,District,73,88
8036,Hernandez High School,District,89,70
8037,Hernandez High School,District,80,67
8038,Hernandez High School,District,84,70
8039,Hernandez High School,District,83,68
8040,Hernandez High School,District,74,67
8041,Hernandez High School,District,63,66
8042,Hernandez High School,District,91,82
8043,Hernandez High School,District,82,90
8044,Hernandez High School,District,57,74
8045,Hernandez High School,District,62,92
8046,Hernandez High School,District,63,97
8047,Hernandez High School,District,88,98
8048,Hernandez High School,District,98,75
8049,Hernandez High School,District,93,88
8050,Hernandez High School,District,90,94
8051,Hernandez High School,District,59,64
8052,Hernandez High School,District,83,80
8053,Hernandez High School,District,65,78
8054,Hernandez High School,District,94,65
8055,Hernandez High School,District,92,96
8056,Hernandez High School,District,94,93
8057,Hernandez High School,District,79,95
8058,Hernandez High School,District,59,77
8059,Hernandez High School,District,65,88
8060,Hernandez High School,District,99,74
8061,Hernandez High School,District,83,96
8062,Hernandez High School,District,56,63
8063,Hernandez High School,District,55,90
8064,Hernandez High School,District,73,64
8065,Hernandez High School,District,63,69
8066,Hernandez High School,District,74,79
8067,Hernandez High School,District,61,89
8068,Hernandez High School,District,75,89
8069,Hernandez High School,District,99,67
8070,Hernandez High School,District,67,72
8071,Hernandez High School,District,78,68
8072,Hernandez High School,District,67,81
8073,Hernandez High School,District,98,93
8074,Hernandez High School,District,72,84
8075,Hernandez High School,District,63,91
8076,Hernandez High School,District,85,78
8077,Hernandez High School,District,79,73
8078,Hernandez High School,District,65,73
8079,Hernandez High School,District,72,74
8080,Hernandez High School,District,63,70
8081,Hernandez High School,District,57,90
8082,Hernandez High School,District,87,65
8083,Hernandez High School,District,61,72
8084,Hernandez High School,District,86,74
8085,Hernandez High School,District,93,96
8086,Hernandez High School,District,73,99
8087,Hernandez High School,District,70,94
8088,Hernandez High School,District,71,88
8089,Hernandez High School,District,89,81
8090,Hernandez High School,District,71,71
8091,Hernandez High School,District,63,65
8092,Hernandez High School,District,83,88
8093,Hernandez High School,District,67,75
8094,Hernandez High School,District,70,91
8095,Hernandez High School,District,87,84
8096,Hernandez High School,District,94,80
8097,Hernandez High School,District,99,89
8098,Hernandez High School,District,86,65
8099,Hernandez High School,District,84,73
8100,Hernandez High School,District,55,85
8101,Hernandez High School,District,70,82
8102,Hernandez High School,District,57,93
8103,Hernandez High School,District,61,99
8104,Hernandez High School,District,81,77
8105,Hernandez High School,District,80,95
8106,Hernandez High School,District,65,77
8107,Hernandez High School,District,56,83
